,date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
129,20220124,2503,15,1994,15,34028895,14875673,35993675,12910893,325208639670,142221423180,344231933000,123198129850,9556.838083340643,9563.678424056448,9560.67151919782,9542.18502546648,-1964780.0
130,20220123,2159,16,1805,14,29639585,20592446,38708053,11523978,287876511610,199401101820,375508921390,111768692040,9712.568904389182,9701.054232564991,9683.215962785576,9698.79429134627,-9068468.0
131,20220122,3225,18,2914,16,54318233,4056667,52130013,6244887,541415410100,40357733390,519470523650,62302619840,9967.47096136209,9964.903013739897,9948.495498891085,9976.580815633653,2188220.0
132,20220119,2818,17,1596,15,36445527,10859589,34340406,12964710,350704324120,104267995280,330166479900,124805839500,9622.698668069746,9614.518823685428,9601.467908223784,9626.581658980416,2105121.0
133,20220118,4090,19,1955,14,47601812,36354583,66140001,17816394,455391092650,349252315470,634194964530,170448443590,9566.675584744547,9588.674855478155,9606.830463988543,9566.943994952066,-18538189.0
134,20220117,2602,13,1563,12,21342343,21186809,27685318,14843834,212414974720,210046572200,275486064210,146975482710,9952.74861433911,9950.619465884409,9914.025854483325,9901.450171835659,-6342975.0
135,20220116,2221,18,1773,14,18711793,21119766,28442729,11388830,186667277590,211432634290,284074892880,114025019000,9975.916128935372,9987.610291544106,10011.125799878653,10012.004657194813,-9730936.0
136,20220115,2057,17,1904,15,16692127,41622602,44209602,14105127,167635384320,418434578160,444739159330,141330803150,10042.781505316849,10059.786544334871,10053.061511147236,10019.817839995343,-27517475.0
137,20220112,1573,11,1718,12,12340199,18335408,22829582,7846025,124307214100,185412136390,230593776010,79125574480,10073.35571330738,10100.656946325167,10112.244919229504,10084.797649765327,-10489383.0
138,20220111,1649,9,1413,12,16922548,10910500,20734094,7098954,170843959840,110293168720,209543353800,71593774760,10095.64043428921,10106.221848902585,10108.901399569222,10085.116026952703,-3811546.0
